ID,Text,Label
189385,@whoisralphie dude  I'm so bummed ur leaving!,0
58036,"oh my god, a severed foot was foun in a wheely bin in cobham!!! where they found is literally minutes from my house! feel sick now! ",0
190139,"I end up &quot;dog dialing&quot; sumtimes. What's dog dialing, u ask?My dogs will walk across my phone &amp; end up calling someone. aka &quot;dog dialing&quot;! ",1
99313,@_rachelx meeeee toooooo! ,0
157825,"I was hoping I could stay home and work today, but looks like I have to make another trip into town ",0
130560,says plurk karma finally reached the 50s. still no heartsy smileys. boo.  http://plurk.com/p/z2x3y,0
121871,"Good to hear it @Arth This is a bit more, but a la four tet  Do you know Free Rotation festival? Am thinking ... Ã¢â¢Â« http://blip.fm/~7hcvo",1
86813,"@davorg in that case im gonna start tweeting about nymphomanic pub owners who like to cook, well worth a shot, eh ",1
197517,"@belunyc its alright love, how are you?  ",1
6937,@brightondoll haha that has to be the best analogy ever. mogwai to gremlin. love it. i love gizmo and the gremlins movies ,1
92703,@AlpacaFarmgirl Biscuit is our cat. We've had him for 4 years and he got loose last Sunday. ,0
197003,"@1capplegate I'm so sad about Sam Who  it was my favorite sitcom on air. plus, i'm picky about what sitcoms i watch. i want it back!",0
23724,trying to stay healthy. 2 of 4 of this Devine family feel icky! ,0
23205,"My bro stole my big bag, my pink bag is gone. Which means I gta use my tiny schbag. Which is bad bec I cant bring my whole wardrobe ",0
155089,my hair wont go right! sighsighsigh ,0
16559,"I got bored so I slept, now I'm a little sad. ",0
104220,@LunaBellaMUA   I'm probably being blonde...but my reaction to what? ,1
161260,@janinaz love this game on PS3 too ^^ i think it's my favorite  have funny time ;) take care!,1
104591,Mad World - Adam Lambert. ,1
202716,@suepainter Noticed our bluebirds are bluer than usual too. So sad the babies were the cat's lunch on Wednesday ,0
145874,"Ooh dear, granddad's not too good 2night ",0
68097,"@dougiemcfly tell harry you love him, he thinks you don't love him back  ",0
172830,oh my bang! i just realized how hardcore its raining o_o; i wonder why God is crying so hard  gotta shower with my new shampoo before bed.,0
78254,Just got out of the movies The hangover was freaking hilarious! Go watch it!  going home now.,1
